customer_id,age,tenure_months,monthly_charges,total_charges,support_calls,contract,internet_service,churned,last_call_outcome
C00000,41,9,,569.22,1,month-to-month,dsl,1,cancelled
C00001,29,43,70.24,3096.37,2,one-year,dsl,0,resolved
C00002,53,8,53.68,,0,month-to-month,dsl,1,cancelled
C00003,51,2,69.98,157.45,1,month-to-month,fiber,1,unresolved
C00004,33,36,65.8,2345.09,1,month-to-month,fiber,0,resolved
C00005,54,22,89.39,1991.29,1,one-year,none,0,resolved
C00006,63,1,57.04,143.94,0,month-to-month,dsl,1,cancelled
C00007,21,16,126.75,2060.07,2,month-to-month,dsl,1,cancelled
C00008,55,9,40.12,363.47,0,month-to-month,fiber,1,cancelled
C00009,27,8,70.37,529.51,1,month-to-month,dsl,0,no_contact
C00010,54,26,78.55,2055.57,1,two-year,fiber,0,resolved
C00011,29,34,42.89,1498.97,2,one-year,none,0,resolved
C00012,28,8,61.68,482.43,0,month-to-month,dsl,1,cancelled
C00013,42,4,62.31,207.73,4,month-to-month,dsl,1,cancelled
C00014,56,4,70.95,321.87,2,month-to-month,dsl,0,resolved
C00015,27,39,82.52,3256.78,0,month-to-month,fiber,1,cancelled
C00016,32,14,81.32,1133.71,1,two-year,fiber,1,cancelled
C00017,62,18,70.79,1164.69,2,month-to-month,fiber,0,resolved
C00018,64,5,54.42,257.27,0,one-year,dsl,0,no_contact
C00019,50,23,115.91,2618.54,0,month-to-month,dsl,1,escalated
C00020,55,23,78.22,1886.76,1,one-year,fiber,0,resolved
C00021,64,31,66.35,1967.21,1,month-to-month,dsl,1,cancelled
C00022,52,15,78.73,,2,,fiber,0,no_contact
C00023,36,19,66.87,1275.62,1,month-to-month,fiber,1,cancelled
C00024,34,7,69.87,503.78,1,one-year,dsl,1,cancelled
C00025,42,6,77.69,462.67,1,month-to-month,none,0,no_contact
C00026,41,31,66.75,2080.51,4,month-to-month,fiber,1,cancelled
C00027,47,21,113.46,2379.64,1,month-to-month,none,0,resolved
C00028,65,17,50.28,885.1,1,month-to-month,fiber,0,escalated
C00029,60,26,59.27,1542.34,2,month-to-month,dsl,1,escalated
C00030,55,28,110.02,3139.98,1,month-to-month,fiber,1,cancelled
C00031,22,25,82.89,2064.71,0,one-year,fiber,0,resolved
C00032,47,21,63.83,1397.1,3,month-to-month,fiber,1,cancelled
C00033,47,29,32.09,892.78,2,month-to-month,fiber,0,resolved
C00034,60,31,64.71,1944.15,0,month-to-month,none,1,cancelled
C00035,55,42,82.69,3458.43,1,month-to-month,dsl,1,cancelled
C00036,41,48,,4865.66,0,month-to-month,fiber,0,escalated
C00037,60,3,51.68,169.33,1,month-to-month,none,1,cancelled
C00038,42,42,76.08,3196.0,0,month-to-month,fiber,0,no_contact
C00039,31,7,48.92,319.07,0,month-to-month,none,1,escalated
C00040,66,31,73.44,2320.25,1,month-to-month,dsl,1,cancelled
C00041,43,28,42.97,1192.72,0,,fiber,0,no_contact
C00042,53,35,72.22,2614.0,0,two-year,dsl,0,no_contact
C00043,74,12,65.69,747.26,1,month-to-month,dsl,1,cancelled
C00044,37,33,82.26,2692.53,0,month-to-month,fiber,0,no_contact
C00045,52,8,43.75,,0,two-year,dsl,0,resolved
C00046,62,13,79.67,977.06,2,month-to-month,fiber,0,no_contact
C00047,38,30,38.11,1103.14,2,month-to-month,fiber,0,no_contact
C00048,58,11,105.41,1178.02,0,month-to-month,fiber,0,resolved
C00049,84,21,105.76,2182.12,0,two-year,dsl,1,cancelled
C00050,28,22,22.95,461.39,0,two-year,dsl,0,escalated
C00051,48,44,76.45,3316.97,0,one-year,dsl,0,resolved
C00052,51,28,49.84,1342.17,1,month-to-month,fiber,0,resolved
C00053,60,19,88.98,1699.89,0,month-to-month,fiber,0,no_contact
C00054,45,9,110.83,1041.43,2,month-to-month,fiber,1,escalated
C00055,41,24,63.85,,1,month-to-month,fiber,0,resolved
C00056,61,23,70.93,1665.23,2,month-to-month,dsl,1,cancelled
C00057,47,19,120.53,2249.57,0,month-to-month,fiber,1,cancelled
C00058,30,3,70.57,164.86,2,two-year,none,1,cancelled
C00059,38,3,58.83,100.85,0,month-to-month,none,1,cancelled
C00060,29,40,56.83,2254.88,0,month-to-month,fiber,1,cancelled
C00061,47,50,,5720.23,1,month-to-month,fiber,1,cancelled
C00062,41,48,36.31,1729.27,2,month-to-month,fiber,0,resolved
C00063,38,22,,2417.79,1,month-to-month,none,1,cancelled
C00064,79,1,137.4,176.25,1,two-year,dsl,1,cancelled
C00065,38,51,60.99,3069.18,0,two-year,fiber,0,resolved
C00066,47,46,110.76,5117.44,1,two-year,dsl,0,resolved
C00067,44,53,40.9,2086.47,1,one-year,fiber,0,resolved
C00068,42,12,61.69,,2,month-to-month,fiber,1,escalated
C00069,71,23,104.01,2400.79,2,month-to-month,dsl,0,resolved
C00070,25,6,52.58,324.38,1,one-year,dsl,1,cancelled
C00071,88,28,82.92,2270.37,1,one-year,fiber,0,escalated
C00072,68,46,51.31,2360.21,2,one-year,dsl,0,resolved
