house_id,area_sqft,bedrooms,quality_score,age_years,neighbourhood,has_garage,price
H00000,1748,2,1.0,9.0,suburb,1,152300
H00001,1579,3,4.0,13.0,suburb,1,177900
H00002,1102,2,6.0,7.0,central,0,194200
H00003,1183,1,8.0,32.0,suburb,1,298800
H00004,938,3,10.0,7.0,riverside,0,567600
H00005,3611,5,8.0,12.0,suburb,1,773500
H00006,1424,3,,40.0,central,0,153100
H00007,2714,3,7.0,28.0,industrial,0,332300
H00008,1379,3,8.0,13.0,central,0,401400
H00009,1203,1,10.0,17.0,suburb,0,333100
H00010,3241,6,8.0,17.0,industrial,1,599400
H00011,1187,2,8.0,10.0,suburb,0,275200
H00012,2339,4,3.0,,industrial,1,174400
H00013,1749,4,7.0,20.0,central,0,371500
H00014,1506,2,4.0,14.0,industrial,1,174200
H00015,1553,2,,10.0,central,1,228900
H00016,991,1,1.0,9.0,suburb,0,79200
H00017,1435,2,7.0,30.0,suburb,0,291700
H00018,2548,5,9.0,8.0,riverside,0,747600
H00019,1589,4,9.0,9.0,suburb,1,395200
H00020,2051,3,,24.0,central,1,199600
H00021,1792,3,6.0,15.0,suburb,0,214200
H00022,1963,3,3.0,35.0,suburb,1,181000
H00023,1563,3,3.0,16.0,industrial,0,101300
H00024,1338,3,6.0,5.0,riverside,1,347000
H00025,2422,3,8.0,51.0,industrial,1,343200
H00026,1933,3,6.0,15.0,riverside,1,462200
H00027,997,1,,2.0,suburb,1,163300
H00028,2843,6,6.0,31.0,riverside,1,521800
H00029,1859,3,1.0,65.0,riverside,1,132300
H00030,1520,1,7.0,36.0,suburb,0,285300
H00031,1572,3,1.0,18.0,central,1,102000
H00032,3296,6,10.0,17.0,central,1,1359500
H00033,1683,4,,13.0,suburb,1,192000
H00034,2578,4,1.0,42.0,central,1,185600
H00035,996,3,,27.0,central,0,209700
H00036,1280,2,2.0,42.0,riverside,1,158400
H00037,2116,3,1.0,15.0,central,0,296200
H00038,1248,3,8.0,17.0,suburb,1,315400
H00039,1540,2,6.0,,riverside,1,356000
H00040,2233,4,6.0,14.0,suburb,1,344500
H00041,1155,3,,13.0,suburb,1,361900
H00042,2463,4,9.0,14.0,suburb,1,546300
H00043,1835,2,5.0,21.0,suburb,1,340400
H00044,1405,2,8.0,7.0,riverside,0,402800
H00045,1569,2,2.0,15.0,central,1,184000
H00046,2870,6,8.0,4.0,riverside,0,733100
H00047,1393,3,,8.0,suburb,0,477300
H00048,1529,3,7.0,35.0,central,1,329500
H00049,1942,2,10.0,27.0,suburb,1,536800
H00050,3864,7,1.0,23.0,riverside,1,448400
H00051,2261,3,4.0,18.0,central,1,326700
H00052,1146,2,6.0,4.0,suburb,1,230000
H00053,1813,4,9.0,33.0,suburb,0,316100
H00054,1626,1,5.0,19.0,suburb,1,260600
H00055,1604,3,9.0,4.0,central,0,428000
H00056,1646,2,1.0,16.0,central,0,161100
H00057,760,1,2.0,26.0,central,0,118300
H00058,2384,3,9.0,30.0,central,0,573300
H00059,1275,3,5.0,24.0,central,0,257000
H00060,2079,3,4.0,53.0,central,1,252300
H00061,814,2,,26.0,central,1,165500
H00062,1514,1,6.0,29.0,riverside,0,338400
H00063,1621,3,4.0,61.0,suburb,1,149900
H00064,523,1,10.0,33.0,central,1,352100
H00065,460,1,2.0,21.0,suburb,0,123600
H00066,1125,3,10.0,55.0,central,0,372100
H00067,1574,2,2.0,18.0,industrial,1,117000
H00068,2025,4,1.0,10.0,riverside,1,195800
H00069,1575,3,9.0,18.0,suburb,1,288400
H00070,2073,3,7.0,27.0,suburb,1,525300
H00071,1196,3,3.0,7.0,industrial,1,128900
H00072,946,2,5.0,36.0,central,1,155500
H00073,1832,4,1.0,19.0,suburb,1,218100
H00074,870,2,1.0,11.0,central,0,130600
H00075,955,2,10.0,59.0,industrial,1,207700
H00076,2480,4,2.0,5.0,central,0,259900
H00077,1059,2,4.0,11.0,suburb,0,193000
H00078,1329,2,1.0,13.0,riverside,1,172100
H00079,1370,3,5.0,11.0,suburb,1,201300
H00080,1085,2,2.0,34.0,riverside,1,150700
H00081,710,2,10.0,34.0,riverside,0,468000
H00082,1800,4,4.0,3.0,suburb,0,257900
H00083,2795,5,10.0,13.0,suburb,1,1013200
H00084,2295,4,2.0,5.0,riverside,0,291200
H00085,793,2,8.0,12.0,suburb,1,263400
H00086,1069,1,10.0,89.0,suburb,1,209600
H00087,1350,2,,19.0,suburb,1,438200
H00088,1508,3,10.0,30.0,riverside,0,576500
H00089,1022,3,9.0,18.0,suburb,0,327300
H00090,1282,1,6.0,5.0,central,1,353000
H00091,1310,3,8.0,33.0,riverside,1,483300
H00092,1260,1,5.0,21.0,central,1,197900
H00093,2338,4,10.0,36.0,central,0,692300
H00094,1610,2,4.0,23.0,industrial,0,176500
H00095,680,1,5.0,11.0,suburb,0,153200
H00096,1165,2,1.0,38.0,riverside,1,221900
H00097,3383,5,1.0,16.0,industrial,1,241800
H00098,1492,3,6.0,27.0,riverside,0,295100
H00099,2105,4,2.0,10.0,industrial,0,191000
H00100,2138,3,2.0,10.0,suburb,0,204300
H00101,1333,2,6.0,26.0,suburb,1,210500
H00102,1344,3,,3.0,riverside,1,534800
H00103,1182,2,10.0,5.0,suburb,1,566300
H00104,2886,4,2.0,22.0,central,0,386900
H00105,1405,4,,31.0,central,1,278700
H00106,1467,1,8.0,9.0,central,0,456200
H00107,1943,4,10.0,30.0,suburb,1,404500
H00108,720,1,1.0,49.0,industrial,1,45700
H00109,2628,5,,7.0,central,1,515400
H00110,2135,4,6.0,12.0,suburb,1,361300
H00111,1554,3,,13.0,central,0,562400
H00112,1355,2,10.0,24.0,central,1,474600
H00113,1672,3,2.0,6.0,suburb,1,218100
H00114,2044,3,4.0,25.0,suburb,1,208700
H00115,18942,1,10.0,6.0,industrial,1,1325250
H00116,2383,4,3.0,3.0,suburb,1,268400
H00117,2639,4,1.0,39.0,suburb,0,180200
H00118,1166,2,5.0,40.0,suburb,1,172100
H00119,1710,3,10.0,71.0,suburb,0,295900
H00120,1186,2,6.0,6.0,industrial,0,174300
H00121,2172,2,8.0,31.0,suburb,1,377700
H00122,1150,3,10.0,9.0,suburb,1,324000
H00123,1058,2,3.0,36.0,suburb,0,156500
H00124,1999,3,1.0,8.0,industrial,1,148400
H00125,1037,1,9.0,3.0,riverside,1,721400
H00126,790,2,5.0,15.0,central,1,191400
H00127,1455,3,4.0,24.0,suburb,1,189600
H00128,3479,6,6.0,14.0,central,1,742000
H00129,1905,3,2.0,13.0,central,0,285000
H00130,1637,3,1.0,8.0,central,1,247800
H00131,1634,2,7.0,21.0,suburb,0,375100
H00132,1210,1,6.0,4.0,central,1,262600
H00133,1422,3,3.0,14.0,central,0,189500
H00134,1100,1,10.0,12.0,central,0,396200
H00135,1992,2,4.0,26.0,suburb,1,221300
H00136,1946,2,2.0,33.0,suburb,1,164200
H00137,1403,2,10.0,13.0,industrial,0,324900
H00138,761,2,9.0,,industrial,1,264900
H00139,1202,1,9.0,13.0,industrial,1,317300
H00140,1626,3,9.0,3.0,suburb,0,571500
H00141,1512,2,5.0,56.0,suburb,0,233200
H00142,1314,1,6.0,13.0,central,1,218800
H00143,2927,4,6.0,17.0,suburb,1,476200
H00144,1040,1,6.0,65.0,riverside,1,183800
H00145,1619,2,8.0,63.0,suburb,1,259700
H00146,1878,4,1.0,23.0,riverside,1,265200
H00147,1592,2,2.0,10.0,central,1,232000
H00148,2432,4,3.0,25.0,suburb,1,191100
H00149,1600,2,5.0,44.0,central,1,216000
H00150,1149,2,7.0,10.0,industrial,1,277900
H00151,1049,1,10.0,36.0,suburb,0,418900
H00152,2298,3,5.0,6.0,suburb,0,407400
H00153,608,1,7.0,16.0,suburb,0,179400
H00154,1687,3,4.0,24.0,suburb,1,214400
H00155,950,1,2.0,32.0,central,1,117500
H00156,12695,4,3.0,,central,1,911090
H00157,3074,4,8.0,7.0,central,1,844100
H00158,1455,2,7.0,19.0,riverside,0,356200
H00159,2507,4,3.0,10.0,riverside,1,409500
H00160,1888,3,4.0,21.0,suburb,1,314800
H00161,3072,5,7.0,21.0,central,1,872600
H00162,1324,2,8.0,12.0,central,0,310300
H00163,1578,3,2.0,35.0,central,0,136300
